Country,Pred_week_1,Pred_week_2,Pred_week_3,Pred_week_4,Pred_week_5,MAE_week_1,stdAE_week_1,RMSE_week_1,stdRMSE_week_1,MAE_week_2,stdAE_week_2,RMSE_week_2,stdRMSE_week_2,MAE_week_3,stdAE_week_3,RMSE_week_3,stdRMSE_week_3,MAE_week_4,stdAE_week_4,RMSE_week_4,stdRMSE_week_4,MAE_week_5,stdAE_week_5,RMSE_week_5,stdRMSE_week_5
Afghanistan,160408,66220,66686,67091,69610,67573,68918,69697,74576,69445,71329,72744,79840,71467,73639,75802,84815,73573,75847,78836,89623
Albania,211120,75343,75941,76461,79694,77080,78806,79806,86068,79482,81900,83716,92824,82078,84866,87641,99209,84780,87699,91535,105380
Algeria,219030,93070,93691,94231,97588,94873,96666,97704,104206,97368,99878,101764,111220,100063,102957,105839,117851,102869,105899,109882,124257
Andorra,22446,7902,7957,8005,8303,8062,8221,8313,8889,8283,8506,8673,9511,8522,8779,9034,10099,8771,9040,9393,10667
Angola,67120,22065,22252,22415,23427,22608,23149,23462,25422,23361,24118,24686,27537,24173,25046,25915,29537,25019,25933,27134,31468
Anguilla,1557,176,179,182,199,185,194,200,233,198,211,220,269,212,226,241,302,226,241,262,335
Antigua and Barbuda,4311,973,984,994,1053,1005,1037,1056,1171,1050,1094,1128,1295,1097,1149,1200,1413,1147,1201,1272,1527
Argentina,5482348,2179090,2196456,2211524,2305318,2229477,2279563,2308560,2490184,2299160,2369300,2421967,2686139,2374455,2455310,2535818,2871358,2452834,2537485,2648754,3050330
Armenia,350690,138827,139764,140577,145638,141546,144248,145813,155612,145305,149090,151931,166185,149368,153731,158074,176179,153597,158164,164168,185835
Aruba,17185,6728,6778,6821,7088,6872,7015,7097,7615,7071,7271,7421,8174,7285,7516,7746,8703,7509,7750,8068,9213
Austria,1293368,371695,374675,377260,393353,380340,388934,393910,425073,392297,404332,413368,458696,405216,419089,432903,490476,418665,433189,452281,521185
Azerbaijan,627979,205988,207629,209054,217920,210751,215485,218227,235396,217338,223968,228947,253920,224456,232099,239710,271429,231865,239867,250386,288347
Bahamas,23594,8420,8485,8542,8893,8609,8796,8905,9585,8870,9132,9330,10319,9152,9454,9756,11012,9445,9762,10179,11683
Bahrain,282625,127481,128383,129165,134036,130098,132699,134205,143638,133717,137359,140095,153815,137627,141826,146008,163434,141698,146094,151873,172729
Bangladesh,1609287,629232,633856,637868,662843,642649,655985,663706,712069,661204,679880,693904,764248,681253,702783,724220,813568,702124,724664,754293,861224
Belarus,702900,245573,247386,248960,258753,250834,256064,259092,278056,258110,265434,270933,298516,265972,274414,282820,317856,274156,282995,294613,336543
Belgium,2096052,641872,646610,650722,676313,655620,669286,677197,726753,674633,693770,708140,780218,695177,717237,739204,830755,716562,739658,770018,879586
Bolivia (Plurinational State of),579389,229128,230761,232178,240999,233867,238577,241304,258385,240420,247017,251970,276814,247501,255106,262677,294233,254873,262834,273298,311065
