Country,Unit,Pred_week_1,Pred_week_2,Pred_week_3,Pred_week_4,Pred_week_5,MAE_week_1,stdAE_week_1,RMSE_week_1,stdRMSE_week_1,MAE_week_2,stdAE_week_2,RMSE_week_2,stdRMSE_week_2,MAE_week_3,stdAE_week_3,RMSE_week_3,stdRMSE_week_3,MAE_week_4,stdAE_week_4,RMSE_week_4,stdRMSE_week_4,MAE_week_5,stdAE_week_5,RMSE_week_5,stdRMSE_week_5
Afghanistan,per million inhabitant,5,2274,2621,2772,4004,2667,3098,3386,4855,3065,3567,3998,5695,3426,3945,4518,6283,3744,4231,4939,6733
Albania,per million inhabitant,697,2736,3023,3149,4171,3061,3419,3658,4877,3392,3808,4166,5574,3691,4122,4597,6062,3955,4360,4947,6435
Algeria,per million inhabitant,51,2814,3089,3209,4186,3126,3468,3696,4861,3441,3840,4182,5528,3728,4140,4594,5994,3980,4367,4928,6351
Andorra,per million inhabitant,11367,308,346,363,502,352,400,432,597,396,453,501,691,437,495,559,757,472,527,606,808
Angola,per million inhabitant,153,1083,1237,1304,1852,1257,1449,1577,2230,1434,1658,1850,2604,1595,1826,2081,2866,1736,1953,2268,3066
Anguilla,,36,25,30,32,49,31,36,40,60,36,43,49,72,41,48,56,80,45,52,61,86
Antigua and Barbuda,per million inhabitant,831,65,77,82,125,79,94,104,154,92,110,125,184,105,123,143,204,116,133,157,220
Argentina,per million inhabitant,2988,71364,78524,81649,107125,79477,88396,94346,124723,87709,98092,107016,142109,95178,105923,117759,154262,101746,111837,126467,163565
Armenia,per million inhabitant,195,4517,4985,5190,6856,5047,5631,6020,8008,5586,6265,6849,9145,6075,6778,7552,9940,6504,7165,8122,10549
Aruba,,837,239,266,278,375,270,303,326,442,301,340,374,508,329,370,415,554,354,393,448,590
Austria,per million inhabitant,1164,17550,19898,20922,29275,20210,23134,25085,35046,22909,26313,29239,40746,25358,28881,32762,44731,27512,30820,35617,47781
Azerbaijan,per million inhabitant,258,8285,9264,9692,13176,9394,10614,11428,15583,10520,11940,13161,17960,11542,13011,14630,19623,12440,13820,15821,20895
Bahamas,per million inhabitant,1370,308,340,354,469,345,385,411,548,382,428,468,626,415,463,517,681,445,490,556,722
Bahrain,per million inhabitant,1194,3787,4242,4441,6063,4303,4871,5249,7183,4827,5488,6056,8289,5302,5986,6740,9063,5720,6363,7294,9655
Bangladesh,per million inhabitant,18,21448,24042,25174,34404,24387,27619,29774,40780,27370,31131,34364,47078,30076,33968,38257,51481,32455,36111,41411,54852
Belarus,per million inhabitant,782,8583,9193,9459,11630,9274,10034,10541,13129,9975,10860,11620,14610,10612,11527,12535,15645,11171,12031,13277,16438
Belgium,per million inhabitant,2204,28198,31751,33302,45946,32224,36650,39604,54680,36310,41463,45892,63308,40017,45349,51223,69340,43276,48284,55545,73957
Bolivia (Plurinational State of),per million inhabitant,1178,7401,8057,8344,10678,8145,8962,9507,12290,8899,9850,10667,13882,9583,10567,11652,14996,10185,11109,12449,15848
Bonaire,,52,47,54,57,83,55,64,70,101,63,74,83,119,71,82,94,131,78,88,103,141
Bosnia and Herzegovina,per million inhabitant,880,3776,4164,4333,5710,4215,4697,5019,6662,4660,5222,5704,7602,5064,5645,6285,8259,5419,5965,6756,8762
Brazil,per million inhabitant,151,277033,297964,307097,381570,300747,326819,344214,433012,324812,355163,381249,483833,346647,378054,412653,519359,365846,395343,438108,546553
Bulgaria,per million inhabitant,1044,9864,10997,11492,15523,11148,12559,13501,18308,12451,14094,15506,21060,13633,15333,17206,22983,14672,16269,18584,24455
Burkina Faso,per million inhabitant,27,246,281,296,417,285,328,356,501,324,374,417,584,360,411,468,642,391,440,509,686
Burundi,per million inhabitant,252,415,488,521,782,498,590,651,963,583,690,781,1142,660,770,892,1267,727,831,981,1363
Cabo Verde,,1071,518,573,597,793,580,649,695,929,644,724,792,1063,701,784,875,1156,752,830,942,1228
Cambodia,per million inhabitant,4,1720,1975,2086,2993,2009,2326,2538,3620,2302,2672,2989,4239,2568,2951,3372,4672,2802,3161,3682,5003
Canada,per million inhabitant,1230,24895,27154,28139,36174,27454,30267,32144,41725,30051,33325,36140,47208,32406,35795,39528,51041,34478,37660,42275,53975
Chad,per million inhabitant,1,80,92,97,138,93,108,117,167,107,123,138,195,119,136,155,214,129,146,169,230
Chile,per million inhabitant,404,22956,24985,25870,33087,25254,27781,29467,38073,27587,30528,33056,42999,29703,32747,36100,46442,31564,34422,38567,49077
Colombia,per million inhabitant,407,66911,73698,76659,100806,74600,83054,88694,117486,82403,92244,100702,133964,89483,99666,110885,145483,95708,105272,119138,154300
Costa Rica,per million inhabitant,31,7289,7956,8247,10620,8044,8875,9430,12260,8811,9779,10610,13879,9507,10508,11611,15012,10119,11059,12422,15878
Cote d’Ivoire,,2886,859,952,992,1322,964,1080,1157,1550,1071,1205,1321,1775,1167,1307,1460,1933,1252,1383,1573,2053
