Country,Unit,Pred_week_1,Pred_week_2,Pred_week_3,Pred_week_4,Pred_week_5,MAE_week_1,stdAE_week_1,RMSE_week_1,stdRMSE_week_1,MAE_week_2,stdAE_week_2,RMSE_week_2,stdRMSE_week_2,MAE_week_3,stdAE_week_3,RMSE_week_3,stdRMSE_week_3,MAE_week_4,stdAE_week_4,RMSE_week_4,stdRMSE_week_4,MAE_week_5,stdAE_week_5,RMSE_week_5,stdRMSE_week_5
Afghanistan,per million inhabitant,0,113,145,153,275,127,159,172,290,143,176,195,309,157,190,214,327,170,200,230,337
Albania,per million inhabitant,10,44,52,54,87,47,56,60,91,52,60,66,96,55,64,71,101,59,67,75,104
Algeria,per million inhabitant,1,83,96,100,154,89,103,109,160,96,110,118,169,102,116,127,176,107,121,134,181
Andorra,per million inhabitant,41,2,2,2,5,2,2,3,5,2,3,3,5,2,3,4,6,3,3,4,6
Angola,per million inhabitant,0,24,29,30,49,26,31,33,52,29,34,37,55,31,36,40,58,33,38,42,59
Anguilla,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda,per million inhabitant,5,2,2,2,5,2,3,3,6,2,3,3,6,3,3,4,7,3,4,4,7
Argentina,per million inhabitant,3,1600,1903,1979,3153,1737,2045,2169,3292,1888,2203,2383,3481,2025,2334,2568,3649,2142,2433,2717,3750
Armenia,per million inhabitant,12,108,129,134,213,117,138,146,222,128,149,161,235,137,158,173,246,145,164,183,253
Aruba,,1,2,3,3,5,2,3,3,6,3,3,4,6,3,4,4,6,3,4,4,6
Austria,per million inhabitant,7,193,239,250,429,214,260,279,450,237,285,312,479,257,304,340,504,275,319,363,520
Azerbaijan,per million inhabitant,8,114,137,142,229,124,147,156,240,136,159,172,254,146,169,186,266,154,176,197,274
Bahamas,per million inhabitant,10,10,13,14,25,12,14,16,26,13,16,18,28,14,17,19,30,15,18,21,31
Bahrain,per million inhabitant,0,22,28,30,55,25,31,34,58,28,35,39,62,31,37,43,66,33,40,46,68
