Country Name,2014,2015,2016,2017,2018,2019,2020,2021
Afghanistan,20497126770.1335,19134211763.859,18116562464.9088,18753469630.2586,18053228578.8878,18799450742.7823,20116137325.8206,19938000000
Albania,13228147516.1168,11386850129.8411,11861199830.8396,13019689336.6919,15156432309.8977,15400242874.8812,14887629268.2927,16770000000
Algeria,213810024944.464,165979279263.174,160034163871.455,170097014589.134,174910878623.049,171767403748.19,145009181490.62,163812000000
Angola,145712200312.505,116193649124.151,101123851090.455,122123822333.59,101353230784.594,89417190341.2533,58375976292.9678,70339000000
Antigua and Barbuda,1249733333.33333,1336692592.59259,1436585185.18519,1467977777.77778,1605944444.44444,1687533333.33333,1370281481.48148,1405000000
Argentina,526319673731.638,594749285413.212,557531376217.967,643628665302.155,524819742918.669,451932356085.842,389288056265.325,455172000000
Armenia,11609512939.7542,10553337672.9872,10546135160.031,11527458565.7334,12457941907.0333,13619291361.2814,12641209802.112,13612000000
Australia,1467504819608.92,1350534154255.76,1206685107002.47,1326882872011.46,1428529571351.06,1391952510370.48,1327836171068.51,1610556000000
Austria,441996131736.508,381817565893.574,395568644341.038,416230497429.163,454945881027.378,445011872704.47,433258467676.515,481209000000
Azerbaijan,75244294275.1498,53074370486.0433,37867518957.1975,40865558912.3867,47112941176.4706,48174235294.1176,42607176470.5882,52645000000
"Bahamas, The",11142900000,11890600000,11992600000,12359700000,12837800000,13164400000,9907500000,10681000000
Bahrain,33387712765.9574,31050638297.8723,32234973404.2553,35473776595.7447,37801462765.9574,38652579787.234,34729228723.4043,39104000000
Bangladesh,172885454931.453,195078678697.23,221415188000.475,249710922462.309,274038973437.275,302571320445.75,323056957972.312,355689000000
Barbados,4696500000,4715000000,4830000000,4978000000,5086500000,5209000000,4418000000,4648000000
Belarus,78813839984.3506,56454734396.5842,47722657820.6675,54726595249.1849,60031262269.3365,64409647193.8044,60258239055.5829,65754000000
Belgium,534678075827.361,462149679343.822,475739588764.759,501522868356.441,543008499294.079,535288715239.999,521861292586.616,581848000000
Belize,1667335060.96064,1721700991.46912,1789304087.78561,1858529676.71857,1915899786.96407,1982518540.6134,1636280797.08056,1909000000
Benin,13284528654.0574,11388160958.249,11821066152.5979,12701654743.2149,14262407011.5254,14391686632.7821,15651545331.5404,18067000000
Bhutan,1907090813.45906,2003598212.99135,2158972129.00307,2450364928.07302,2446866404.93058,2535657068.96575,2315437338.08809,2480000000
Bolivia,32996188012.6821,33000198248.3362,33941126200.0606,37508642165.3366,40287647930.4761,40895322843.7851,36572764862.8234,38547000000
Bosnia and Herzegovina,18560861388.6402,16219819017.3607,16914287348.9819,18079075770.6713,20177409351.4329,20201323260.0733,19946496562.9733,21692000000
Botswana,15654660710.108,13578754072.4652,15082578064.8002,16088437675.1648,16914245098.0392,16593720655.6402,15061922801.6271,17605000000
Brazil,2456043766028.73,1802211999538.68,1795693265810.23,2063514688761.98,1916933708381.89,1877824273720.78,1444733258971.65,1645837000000
Brunei Darussalam,17098342541.4365,12930394937.8137,11400854267.7188,12128104859.1498,13567351175.0315,13469422958.5105,12005825769.5087,15686000000
Bulgaria,57082011260.3446,50781996712.7635,53953897624.4344,59199447421.4924,66363422450.2112,68915416141.9576,69889347433.4324,77907000000
Burkina Faso,13943016923.9017,11832159275.603,12833363370.174,14106956830.0857,15890065019.7634,16178162030.0694,17933606353.1775,19932000000
Burundi,2705783272.07443,3104394858.11518,2732808556.84172,2748180473.71333,2668495742.88443,2631434363.22693,2841786382.19063,3193000000
Cambodia,16702610842.4025,18049954289.4229,20016747754.0192,22177200511.5811,24571753583.4922,27089389786.979,25808561550.9514,26080000000
Cameroon,36386546917.6861,32210232911.6626,33814337900.2831,36098550141.5897,39973839064.6084,39670977332.7348,40804449726.0184,44806000000
Canada,1805749878439.94,1556508816217.14,1527994741907.43,1649265644244.09,1721853332869.63,1741576393905.98,1644037286481.26,2015983000000
Central African Republic,1894813504.52945,1695825708.45604,1825018190.85071,2072349794.23301,2220978978.17342,2220307368.69593,2380087758.04137,2587000000
Chad,13940768065.6063,10950392219.9104,10097778353.7651,10000395242.1457,11239167048.4916,11314951342.7807,10829076801.729,12345000000
Chile,260541637327.864,243919079437.373,250440149690.889,277034675515.671,297571693064.212,279385487344.526,252940023046.011,331250000000
China,10475682920597.7,11061553079871.5,11233276536744.7,12310409370894.2,13894817549380.3,14279937467431,14722730697890.1,16862979000000
Colombia,381112119657.446,293481748240.779,282825009887.458,311883730690.129,334198214706.209,323429888934.257,271437596293.843,300791000000
Comoros,1149587651.69395,966029542.038859,1012835518.26037,1077439662.5798,1188797574.94753,1192559739.37288,1235400352.2931,1281000000
Costa Rica,52016408950.8398,56441917653.0156,58847016044.8244,60516043590.1924,62420165099.7301,64072870931.603,61846895120.7808,61178000000
Croatia,58330289756.6914,50163192883.1515,52295158344.2544,56214427431.2,62247874948.8225,62246206340.5469,57203783203.0259,63399000000
Cyprus,23156850006.6427,19842404304.8929,20953442550.3653,22870833709.8961,25522671232.8767,25758357774.5438,24612646487.7213,26546000000
Czech Republic,209358834156.329,188033050459.881,196272068576.338,218628940951.675,248950103352.137,252498032247.163,245349489988.26,276914000000
Denmark,352993631617.708,302673070846.857,313115929314.339,332121063806.391,356841216410.068,347561349210.979,356084867685.639,396666000000
Djibouti,2214679081.25658,2430274292.2896,2603540256.91955,2751445573.68009,3012803457.10411,3324615549.09099,3384385216.71609,3654000000
Dominica,520207407.407407,540737037.037037,576229629.62963,519837037.037037,550622222.222222,611537037.037037,504214814.814815,571000000
Dominican Republic,67179914026.9623,71164825256.6849,75704720189.5607,79997975621.8654,85555378042.8196,88941299733.5018,78844702329.0785,89502000000
Ecuador,101726331000,99290381000,99937696000,104295862000,107562008000,108108009000,98808010000,104483000000
