Country,DataType,01-20,02-20,03-20,04-20,05-20,06-20,07-20,08-20,09-20,10-20,11-20,12-20,01-21,02-21,03-21,04-21,05-21,06-21,07-21,08-21,09-21,10-21,11-21,12-21
Afghanistan,Cases,0,5,161,1635,13009,15609,4780,1452,1072,1963,4790,5832,2510,655,721,3228,11899,45682,26938,5719,1792,1019,1132,770
Afghanistan,Death,0,0,4,56,190,470,497,119,52,71,227,415,199,39,40,136,313,1898,1746,381,81,66,28,48
Albania,Cases,0,0,205,496,363,1430,2617,4104,4005,6985,16750,19545,18935,28088,17556,5820,1224,199,515,12252,23075,14756,14450,9571
Albania,Death,0,0,12,16,2,30,89,123,100,115,289,364,188,395,431,154,56,5,1,38,187,218,168,119
Algeria,Cases,0,5,506,3264,5261,4177,15924,13752,6874,5802,23561,16112,7512,5621,3969,4674,6617,10216,29042,24182,7118,2999,3892,7506
Algeria,Death,0,0,31,409,196,252,288,291,216,213,437,320,132,88,106,151,212,236,473,986,536,106,144,200
American Samoa,Cases,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,6,1
American Samoa,Death,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andorra,Cases,0,0,376,348,18,91,67,199,790,2615,1956,1238,1836,912,1078,1188,461,173,767,354,176,294,1599,5937
Andorra,Death,0,0,12,29,9,1,0,1,0,22,1,8,17,9,5,10,2,0,1,2,0,0,1,9
Angola,Cases,0,0,7,20,57,190,825,1515,2251,5586,4298,2232,2229,986,1375,4120,7714,4131,3797,4554,9039,7791,722,11619
Angola,Death,0,0,1,0,2,7,38,56,71,96,62,51,59,40,28,57,168,128,108,199,320,171,23,24
Anguilla,Cases,0,0,2,1,0,0,0,0,0,0,3,7,4,1,7,66,16,0,5,103,172,483,390,288
Anguilla,Death,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2
Antigua and Barbuda,Cases,0,0,7,17,1,40,25,3,7,26,14,17,59,506,410,88,33,3,40,410,1445,809,83,154
Antigua and Barbuda,Death,0,0,0,3,0,0,0,0,0,0,1,1,2,7,14,4,10,0,1,1,32,23,15,1
Argentina,Cases,0,0,820,3235,10398,43719,116728,215866,314706,407191,256196,183356,301434,181933,215246,596125,777320,670027,458224,254123,74876,31357,37641,227823
Argentina,Death,0,0,20,183,295,715,2028,4935,7615,13923,7530,4545,4612,4015,3646,7211,13600,15686,11445,5797,3431,763,579,557
Armenia,Cases,0,0,532,1495,7134,16050,12485,4940,6481,38963,42870,23442,7288,4970,20423,22328,6074,2317,4889,11796,18947,45695,29121,5910
Armenia,Death,0,0,3,29,98,304,285,130,78,378,801,630,252,108,320,575,310,69,97,225,462,989,1188,362
Aruba,Cases,0,0,50,45,1,0,16,1728,1875,538,319,535,1416,946,1490,1211,349,154,449,2881,940,410,442,2686
Aruba,Death,0,0,0,2,1,0,0,5,15,11,8,4,9,13,11,13,9,0,2,28,27,5,3,7
Australia,Cases,9,16,4334,2039,423,572,8469,8765,1317,504,303,477,398,154,326,475,297,456,3299,18467,48875,64144,38716,152344
Australia,Death,0,0,17,70,10,2,85,415,230,21,0,1,0,0,0,1,0,0,13,79,272,433,263,220
Austria,Cases,0,3,9259,5467,1146,988,3194,6068,16879,56477,171307,75163,50502,42255,82439,71134,26031,5887,8198,27818,53771,82630,320202,115060
Austria,Death,0,0,134,469,66,37,14,14,57,354,2309,2681,1439,690,704,796,349,83,20,53,222,304,1115,960
Azerbaijan,Cases,0,1,187,1444,3223,11178,14253,4614,3752,13033,59851,98389,12299,3923,25209,56200,14755,2005,7169,77254,58237,45207,55270,28034
Azerbaijan,Death,0,0,4,18,35,137,232,88,57,118,605,1214,510,87,320,923,390,60,48,569,877,524,759,490
Bahamas,Cases,0,0,14,66,21,3,380,1627,1736,2622,859,340,303,359,568,1248,1343,737,1978,3299,2845,1252,377,1478
Bahamas,Death,0,0,0,11,0,0,0,29,48,47,21,7,6,4,8,10,31,16,40,94,150,110,28,45
Bahrain,Cases,0,44,523,2352,7753,14841,13997,10592,18450,10602,5142,5469,9951,18721,21179,31307,61223,25111,3253,3267,2441,1737,799,3716
Bahrain,Death,0,0,4,4,9,65,59,42,56,68,20,11,20,69,68,118,307,371,32,4,1,4,1,0
Bangladesh,Cases,0,0,51,7613,38915,95949,88403,73136,48533,42697,55680,46285,20639,10634,64494,141368,39956,110953,327925,236290,52231,12781,6531,8973
Bangladesh,Death,0,0,5,162,480,1175,1223,1149,935,651,703,884,551,271,630,2345,1109,1843,6039,5279,1236,337,111,89
Barbados,Cases,0,0,33,47,12,5,13,63,17,46,39,96,1126,1449,596,196,157,62,284,552,3013,9285,7275,3158
Barbados,Death,0,0,0,6,0,0,0,0,0,0,0,0,5,21,8,2,3,0,1,0,19,83,72,31
Belarus,Cases,0,1,151,12989,27631,19234,5690,3879,6417,18868,35549,55714,52286,37623,33288,35426,35069,21836,27859,34324,54565,60046,53155,42882
Belarus,Death,0,0,0,82,140,152,167,117,147,144,166,256,284,248,261,285,299,281,302,314,349,471,436,480
Belgium,Cases,0,1,15295,32962,8390,2920,7606,15122,36514,319337,128854,64814,59210,58717,112362,101609,67273,18877,38771,57540,57528,133551,395588,319734
Belgium,Death,0,0,1210,6397,1534,273,76,193,126,1676,4952,2680,1531,942,782,1171,695,199,67,133,214,421,968,1153
Belize,Cases,0,0,3,15,0,6,24,916,898,1439,2185,4925,1153,385,122,187,145,398,887,1849,4075,6230,3367,1729
Belize,Death,0,0,0,2,0,0,0,11,11,30,86,94,59,13,3,6,1,5,8,19,49,82,79,23
Benin,Cases,0,0,6,60,148,955,606,340,212,286,331,236,535,1741,1466,508,237,141,195,4972,10524,859,101,72
Benin,Death,0,0,0,2,1,16,15,4,1,0,2,1,4,18,20,6,2,3,4,20,31,2,0,0
Bermuda,Cases,0,0,22,84,29,6,10,13,12,18,52,335,87,14,431,1217,109,23,39,276,2256,403,83,583
Bermuda,Death,0,0,0,6,3,0,0,0,0,0,0,1,2,0,0,12,5,1,0,0,29,29,5,0
Bhutan,Cases,0,0,4,3,36,30,25,123,55,66,47,260,170,8,6,188,514,468,411,78,5,20,19,20
Bhutan,Death,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0
Bolivia (Plurinational State of),Cases,0,0,97,946,7621,21932,41409,40120,18255,6843,2961,12265,55020,32494,21800,30412,62982,67094,34335,17243,9181,13022,22888,54214
Bolivia (Plurinational State of),Death,0,0,5,49,241,704,1737,2044,2934,774,234,183,1077,1279,583,681,1484,2160,1082,605,287,198,236,479
Bonaire,Cases,0,0,0,2,0,0,3,2,91,31,8,19,197,44,909,188,54,32,56,75,275,325,475,431
Bonaire,Death,0,0,0,0,0,0,0,0,1,2,0,0,0,1,6,6,1,0,0,0,2,0,3,1
Bosnia and Herzegovina,Cases,0,0,406,1220,737,1815,6991,8349,7262,20668,37184,23084,10249,9604,35516,28240,5517,992,633,7657,19922,18982,20173,15406
Bosnia and Herzegovina,Death,0,0,12,52,84,31,142,270,234,356,1386,1369,624,383,1405,1913,682,410,40,103,771,922,1000,842
Botswana,Cases,0,0,0,20,12,137,577,829,1448,3470,3350,4033,7268,7077,11478,7086,9379,12555,36619,50237,21123,7374,8474,17414
Botswana,Death,0,0,0,1,0,0,1,4,10,8,7,9,94,176,258,144,119,276,444,692,106,38,12,21
Brazil,Cases,0,5,4250,67307,387004,845703,1184070,1236051,883153,716854,773614,1248811,1499313,1278655,2056383,1863180,1880922,1933282,1326064,861542,629509,393855,276812,179085
