Country,Scale,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2,2017Q3,2017Q4,2018Q1,2018Q2,2018Q3,2018Q4,2019Q1,2019Q2,2019Q3,2019Q4,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3
Albania,Millions,"315137,17","370522,83","348623,95","361020,68","318754,6","383685,32","360196,48","371670,11","332980,82","385321,67","366011,48","388165,16","351407,92","410251,59","385198,39","403787,58","374415,38","431785,13","409229,55","421299,54","386947,24","449546,68","429983,65","425249,58","376429,9","387241,31","415757,88","438111,83","402601,26","482513,59",...
Argentina,Millions,"979412,2","1175657,4","1171375,8",1252641,"1273173,4","1487869,7","1555432,7","1638035,1","1751661,3","2103639,1","2131907,2",2240952,"2310219,4","2639552,1","2779105,6","2931351,4","3114447,6","3607848,5","3819068,9","4203445,7","4413835,9","5373342,6","5673569,5","6341508,3","6296648,3","6045113,4","6962647,9","8177030,4","9289526,5","11668079,6","12006649,1"
"Armenia, Rep. of",Millions,"814938,4","1030592,9","1443501,1","1539593,9","879565,7","1105248,02","1523902,7","1534916,8","893634,2","1132260,6","1525628,4","1515770,3",971041,"1212700,8","1587405,4","1793346,1","1115563,9","1362703,9","1687018,4",1851749,"1242121,8","1484958,1","1822640,1","1993601,8",1268125,"1270767,7","1743270,4",1899501,"1284086,4",...,...
Australia,Millions,386683,403460,401804,421201,391929,408274,410693,427397,397876,421778,423774,456476,429769,449294,451587,472011,446285,473063,475749,500236,470690,499553,502854,521880,486378,469753,485367,527475,506629,548471,539632
Austria,Millions,"78975,26","83235,72","83365,83","87569,25","81812,39","85599,74","86296,66","90560,45","86018,24","89349,79","88843,76","93396,16","88273,63","91933,23","92062,3","97092,71","92928,45","95513,1","95439,12","101543,29","96163,74","98607,91","98908,16","103838,72","94599,58","88125,97","96699,06","99895,95","91514,89","100265,16","104537,57"
"Azerbaijan, Rep. of",Millions,"13117,1","15292,1","15870,9",14734,"11538,7","14192,2","14118,1",14531,12817,"15186,8","15764,2","16657,2","15475,5","17422,6","18037,5","19402,2","17466,6","19417,6","20265,4","22942,4","18475,8","19926,8","20491,6","22786,8","18135,9",...,...,...,...,...,...
"Belarus, Rep. of",Millions,"16670,21","19125,68","22635,56","22147,82","19821,31","21597,59","24524,41","23966,5","21121,7","23052,5","25720,6","25054,2","22652,4","25341,2","28569,2","29185,4","26766,1","29341,8","33127,3","33084,5","29566,3",32163,"36871,9","36130,9",32356,"33634,2","40371,8",40644,...,...,...
Belgium,Millions,97159,100995,98215,106635,100109,104882,101419,110292,102431,108919,104750,113985,107700,112517,107476,117357,110469,116020,111040,122500,114716,120140,116108,127196,115430,104737,113105,123622,118317,125867,124573
Bosnia and Herzegovina,Millions,"6306,14","6603,91","7294,68","7153,98","6409,08","7029,13","7738,96","7411,88","6752,08","7283,2","8106,82","7762,37","7059,41","7627,27","8530,56",8159,"7598,51","8254,17","8934,11","8657,28","7985,03","8718,32","9457,21","9135,19","8368,01","8038,75",8989,"8844,39","8541,43","9054,18",...
Botswana,Millions,"33397,4","36429,6","35197,1","35493,7","34556,3","35217,7","35185,2","32580,1","38470,3","41054,9","42832,4","42060,6","40457,3","41167,8",42482,"42366,3","41663,8","42866,3","44301,4","43693,7","44305,6","44749,2","45513,7",43912,46464,36585,"43873,1","45630,2","47603,9","49688,4",...
Brazil,Millions,"1385979,2","1422320,2","1462125,5","1508528,1","1456666,4",1479977,"1508228,2","1550915,4","1500268,2","1559018,8",1577170,"1632870,9","1585806,3","1630852,5","1648634,9","1720185,3","1681578,7","1733662,9","1767873,7","1821025,6","1759312,6","1828764,2","1880631,9","1920422,4","1845561,5","1722448,4","1888242,2","2011364,4","2065954,7","2140602,8","2215184,6"
Brunei Darussalam,Millions,...,...,...,…,"4655,57","4526,25","4321,94","4274,25","3940,66","4029,41","3763,62","4014,03","4098,41","4345,17","3978,69","4325,16","4398,64","4587,02","4501,89","4813,11","4550,88","4759,88","4248,7","4815,53","4560,5","3938,69","3970,67",...,...,...,...
Bulgaria,Millions,"16925,56","20255,45","23363,73","23605,55","18280,42","22281,08","24172,74","24865,53","19700,48","23020,41","25936,55","26733,06","20975,45","24920,56","27971,84","28872,79","22173,77","26879,26","30486,43","30424,73","25280,71","29848,68","31972,4","33293,45","25842,83","27699,94","32624,03","33784,29","27015,16","31178,08","36133,07"
