Country,Pred_week_1,Pred_week_2,Pred_week_3,Pred_week_4,Pred_week_5,MAE_week_1,stdAE_week_1,RMSE_week_1,stdRMSE_week_1,MAE_week_2,stdAE_week_2,RMSE_week_2,stdRMSE_week_2,MAE_week_3,stdAE_week_3,RMSE_week_3,stdRMSE_week_3,MAE_week_4,stdAE_week_4,RMSE_week_4,stdRMSE_week_4,MAE_week_5,stdAE_week_5,RMSE_week_5,stdRMSE_week_5
Afghanistan,207,286,472,737,1036,2322,2633,2808,4030,2649,2973,3273,4628,2953,3238,3669,5217,3217,3424,3982,5603,3444,3561,4235,5914
Albania,1990,2115,2497,2818,3125,2775,3034,3178,4193,3047,3315,3565,4688,3299,3535,3893,5177,3518,3690,4152,5497,3706,3803,4363,5755
Algeria,2325,2525,2825,3073,3153,2852,3099,3237,4207,3111,3368,3607,4681,3353,3579,3921,5149,3562,3726,4169,5455,3742,3835,4370,5701
Andorra,1097,794,597,453,320,313,348,367,505,350,386,420,572,384,416,464,638,413,437,499,681,439,452,528,716
Angola,8003,4368,2464,659,119,1104,1243,1320,1864,1249,1394,1527,2130,1385,1511,1703,2392,1502,1594,1842,2563,1603,1655,1955,2702
Anguilla,34,21,12,9,8,26,30,32,49,30,35,39,57,34,38,44,65,38,41,48,70,41,43,52,75
Antigua and Barbuda,86,115,143,159,161,67,77,83,126,78,89,100,147,89,98,113,167,98,105,124,180,106,110,133,191
Argentina,121232,138152,140579,131538,115456,72340,78787,82392,107678,79109,85806,92022,120029,85406,91289,100214,132221,90851,95145,106673,140197,95548,97968,111920,146632
Armenia,981,877,745,1028,1131,4581,5002,5238,6893,5023,5462,5868,7700,5435,5820,6404,8498,5792,6073,6827,9020,6099,6257,7170,9441
Aruba,994,792,628,433,320,242,267,281,377,268,294,317,424,292,314,348,470,313,329,373,501,331,340,393,525
Austria,11756,8919,8259,6697,3793,17870,19984,21166,29457,20089,22285,24323,33506,22154,24083,27009,37504,23939,25347,29127,40119,25480,26273,30848,42229
Azerbaijan,2691,1882,1675,2326,3018,8418,9300,9793,13252,9344,10260,11110,14941,10205,11010,12231,16608,10950,11537,13114,17699,11593,11923,13832,18579
Bahamas,577,677,717,714,642,313,342,358,471,343,373,401,527,371,398,438,582,396,415,467,617,417,428,490,646
Bahrain,2311,3503,4512,5136,5495,3849,4259,4489,6098,4280,4706,5101,6884,4680,5055,5623,7660,5027,5300,6034,8168,5326,5480,6368,8577
Bangladesh,3264,4424,6001,8007,10003,21802,24137,25443,34605,24254,26680,28932,39079,26536,28667,31900,43496,28508,30064,34240,46386,30210,31086,36141,48717
Belarus,7532,6577,6339,6290,6506,8666,9215,9522,11677,9243,9813,10343,12729,9779,10280,11041,13768,10243,10609,11591,14447,10643,10849,12038,14995
Belgium,22675,16442,13086,9693,8277,28682,31882,33671,46221,32041,35365,38450,52350,35167,38086,42516,58401,37869,40000,45721,62360,40200,41401,48326,65553
Bolivia (Plurinational State of),14554,14338,13231,11465,10235,7491,8081,8412,10728,8111,8724,9294,11860,8688,9227,10044,12977,9187,9580,10636,13707,9617,9839,11117,14297
Bonaire,65,54,50,46,43,48,54,58,84,54,61,68,96,61,67,76,109,66,71,83,117,71,74,88,123
Bosnia and Herzegovina,2974,2924,3176,3548,3795,3829,4178,4373,5740,4195,4557,4894,6408,4536,4854,5337,7067,4830,5062,5686,7499,5084,5215,5970,7847
Brazil,42906,38786,48464,65245,88780,279886,298731,309269,383187,299672,319248,337419,419289,318081,335277,361367,454929,333996,346548,380247,478246,347728,354800,395585,497056
Bulgaria,5673,4447,4124,3648,4569,10019,11039,11609,15611,11090,12150,13133,17565,12086,13017,14430,19495,12948,13627,15452,20757,13691,14074,16282,21776
Burkina Faso,529,510,437,369,335,251,282,299,420,283,315,345,479,313,342,384,537,339,360,415,575,362,373,440,606
Burundi,3708,2386,1414,554,208,425,491,528,788,494,563,627,915,559,620,711,1040,615,659,778,1122,663,688,832,1189
Cabo Verde,976,995,969,838,717,525,575,603,798,577,629,677,893,626,671,740,987,668,701,790,1048,704,723,830,1098
