Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-01-03,BR,Brazil,AMRO,0,0,0,0
2020-01-04,BR,Brazil,AMRO,0,0,0,0
2020-01-05,BR,Brazil,AMRO,0,0,0,0
2020-01-06,BR,Brazil,AMRO,0,0,0,0
2020-01-07,BR,Brazil,AMRO,0,0,0,0
2020-01-08,BR,Brazil,AMRO,0,0,0,0
2020-01-09,BR,Brazil,AMRO,0,0,0,0
2020-01-10,BR,Brazil,AMRO,0,0,0,0
2020-01-11,BR,Brazil,AMRO,0,0,0,0
2020-01-12,BR,Brazil,AMRO,0,0,0,0
2020-01-13,BR,Brazil,AMRO,0,0,0,0
2020-01-14,BR,Brazil,AMRO,0,0,0,0
2020-01-15,BR,Brazil,AMRO,0,0,0,0
2020-01-16,BR,Brazil,AMRO,0,0,0,0
2020-01-17,BR,Brazil,AMRO,0,0,0,0
2020-01-18,BR,Brazil,AMRO,0,0,0,0
2020-01-19,BR,Brazil,AMRO,0,0,0,0
2020-01-20,BR,Brazil,AMRO,0,0,0,0
2020-01-21,BR,Brazil,AMRO,0,0,0,0
2020-01-22,BR,Brazil,AMRO,0,0,0,0
2020-01-23,BR,Brazil,AMRO,0,0,0,0
2020-01-24,BR,Brazil,AMRO,0,0,0,0
2020-01-25,BR,Brazil,AMRO,0,0,0,0
2020-01-26,BR,Brazil,AMRO,0,0,0,0
2020-01-27,BR,Brazil,AMRO,0,0,0,0
2020-01-28,BR,Brazil,AMRO,0,0,0,0
2020-01-29,BR,Brazil,AMRO,0,0,0,0
2020-01-30,BR,Brazil,AMRO,0,0,0,0
2020-01-31,BR,Brazil,AMRO,0,0,0,0
2020-02-01,BR,Brazil,AMRO,0,0,0,0
2020-02-02,BR,Brazil,AMRO,0,0,0,0
2020-02-03,BR,Brazil,AMRO,0,0,0,0
2020-02-04,BR,Brazil,AMRO,0,0,0,0
2020-02-05,BR,Brazil,AMRO,0,0,0,0
2020-02-06,BR,Brazil,AMRO,0,0,0,0
2020-02-07,BR,Brazil,AMRO,0,0,0,0
2020-02-08,BR,Brazil,AMRO,0,0,0,0
2020-02-09,BR,Brazil,AMRO,0,0,0,0
2020-02-10,BR,Brazil,AMRO,0,0,0,0
2020-02-11,BR,Brazil,AMRO,0,0,0,0
